;Tacon;;;;Commercial normal;;;;Commercial aquaponics;;;;Commercial pond;;;;Experimental;;;
;mean;sd;cv;n;mean;sd;cv;n;mean;sd;cv;n;mean;sd;cv;n;mean;sd;cv;n
N;;;;;;;;;;;;;;;;;;;;
P;14.935;0.021213203;0.142036849;;12;2.4;20;67;22;17;77.27272727;3;12;;;1;14;4.9;35;
K;9.6;1.004091629;10.45928781;;11;1.7;15.45454545;2;20;;;1;;;;;9;2.8;31.11111111;
Ca;20.115;2.793071786;13.8855172;;21;10.1;48.0952381;5;15;;;1;;;;;15;8.4;56;
Mg;2.16;0.127279221;5.89255651;;3;0.9;30;3;;;;;;;;;2;0.7;35;
Fe;183.5;24.74873734;13.48705032;;325;330.9;101.8153846;4;;;;;;;;;348;297;85.34482759;
Mn;53;4.242640687;8.004982429;;;;;;;;;;;;;;;;;
Cu;15;1.414213562;9.428090416;;19;16.1;84.73684211;4;;;;;;;;;16;2.9;18.125;
Zn;90;7.071067812;7.856742013;;211;110;52.13270142;4;;;;;;;;;93;35.8;38.49462366;